Day,Cash On Hand
11,3519435
12,4159755
13,4139920
14,5244296
15,4288920
16,4854077
17,6776746
18,8789682
19,6748978
20,7773790
21,8450758
22,9251202
23,11245340
24,12260339
25,15401377
26,16898642
27,18141994
28,19349047
29,20084861
30,22422696
31,21329786
32,24870479
33,31502920
34,36441163
35,42109525
36,44098920
37,46474090
38,45787532
39,46117649
40,48143124
41,50217984
42,53558449
43,56122739
44,61739487
45,67284863
46,68722866
47,73000778
48,75571198
49,78311018
50,80343340
51,82854318
52,93583183
53,102545668
54,110708965
55,112819335
56,114020950
57,116504895
58,121346265
59,124428805
60,128750995
61,131906600
62,135140656
63,137760600
64,141242998
65,152785899
66,154724566
67,157049720
68,159288477
69,164790358
70,176371206
71,185183100
72,196487635
73,195979438
74,198076757
75,202613566
76,206480248
77,210802091
78,215275528
79,219145702
80,223753886
81,228446274
82,233384251
83,237689873
84,259556558
85,270742368
86,271506931
87,275765138
88,280703587
89,284998432
90,288409671
