Day,Sales,Trading Profit,Operating Expense,Net Profit
11,8558592,5192239,1159213,4033026
12,9729799,5336120,1483384,3852736
13,10817545,6264584,1538135,4726449
14,13052819,8302220,1639919,6662301
15,14256313,8694348,1927891,6766457
16,15350920,8891672,2268545,6623127
17,17688964,11076232,2381950,8694282
18,20375834,13622805,2434498,11188307
19,21772432,14318726,5830854,8487872
20,23100770,15472285,5930162,9542123
21,24477384,16705479,5996732,10708747
22,26213702,17227304,6098140,11129164
23,28599777,18727394,6333631,12393763
24,30671396,20608582,6389045,14219537
25,33977805,23490119,6459630,17030489
26,36367720,25732771,6565414,19167357
27,37968985,26594110,6649841,19944269
28,39491298,27981756,6704155,21277601
29,41070044,28039347,6862001,21177346
30,43609531,30443314,6919807,23523507
31,45292039,31761318,7046771,24714547
32,48970380,34634859,7202753,27432106
33,55757300,40862593,7279966,33582627
34,61168962,45843300,7356879,38486421
35,67588483,51188203,7699152,43489051
36,70139328,53146179,7783766,45362413
37,73074609,55893619,7846071,48047548
38,75261152,57418971,10403576,47015395
39,78283668,59288435,11848689,47439746
40,80569600,61388438,11934702,49438404
41,82930940,63497809,12026249,51456228
42,87197400,67510442,12096161,55398949
43,90185385,70264267,12155663,58093272
44,96899707,75164833,12303932,62845569
45,102877213,80657623,12356377,68276914
46,105248485,82854356,12483340,70346684
47,110134685,87422794,12614102,74784360
48,113245328,90286895,12690109,77572454
49,116634239,93395410,12762294,80608784
50,120081411,96570755,12927913,83618510
51,123590273,99802052,13036871,86740849
52,134634162,109952482,13130909,96797241
53,144576730,118969092,13330951,105613809
54,153594645,127293411,13459253,113809826
55,156350988,128232557,13611450,114596775
56,159556397,131181957,13711480,117446145
57,162786224,132624689,13842546,118757811
58,168746482,137869477,14390412,123454733
59,172044231,140906909,14495355,126387222
60,176824561,144787520,14587429,130175759
61,181043479,148690178,14656876,134008970
62,184390273,151795290,14776281,136994677
63,188081728,154798631,15270653,139503646
64,191886983,158320659,15333727,142962600
65,204465029,169899224,15425389,154449503
66,207342519,170867283,15577549,155265402
67,210093348,173059826,15671691,157363803
68,214363379,176995264,15893872,161077060
69,220707705,182185674,16024544,166136798
70,232393638,192941341,16095736,176821273
71,242811801,201895521,16207952,185663237
72,255050127,212786443,16314710,196447401
73,257683615,214647046,16398134,198224580
74,261661504,217980568,16529021,201427215
75,266731846,222269438,16628821,205616285
76,271826972,227054721,16722688,210307701
77,276278646,231256016,16820990,214391362
78,281133155,235774577,16882222,218848691
79,285769051,240037025,16950184,223043177
80,290678587,244583460,17087136,227452660
81,295795041,249353643,17177522,232132457
82,301158654,254401842,17241598,237116580
83,305870458,258833536,17319780,241470092
84,328338791,279388923,17400508,261944751
85,341733359,291035486,18344990,272646832
86,344330423,292774417,19089511,273641242
87,349784772,297519941,19161393,278314884
88,355045307,302504800,19245719,283215417
89,359622951,306810646,19341218,287425764
90,363555503,310232609,19414591,290774354
